"ID","Model","system_prompt","scores_in_prompt","prefix","Checkpoint 1 Model Name","Checkpoint 2 Model Name","Final Model Name"
"11","gpt-4.1-mini","minimal_prompt","both_raw","min-e8-b32-m04-v20","ft:gpt-4.1-mini-2025-04-14:litero-ai:min-e8-b32-m04-v20:CahGHoQH:ckpt-step-144","ft:gpt-4.1-mini-2025-04-14:litero-ai:min-e8-b32-m04-v20:CahGHE9U:ckpt-step-168","ft:gpt-4.1-mini-2025-04-14:litero-ai:min-e8-b32-m04-v20:CahGHp0S"
"12","gpt-4.1-mini","compact_prompt","ai_score_binned","cmp-e3-b12-m12-v12","ft:gpt-4.1-mini-2025-04-14:litero-ai:cmp-e3-b12-m12-v12:CahihiXZ:ckpt-step-70","ft:gpt-4.1-mini-2025-04-14:litero-ai:cmp-e3-b12-m12-v12:CahiiRkT:ckpt-step-140","ft:gpt-4.1-mini-2025-04-14:litero-ai:cmp-e3-b12-m12-v12:Cahiin3j"
"13","gpt-4.1","minimal_prompt","both_raw","min-e3-b6-m08-v15","ft:gpt-4.1-2025-04-14:litero-ai:min-e3-b6-m08-v15:CahTUP8d:ckpt-step-136","ft:gpt-4.1-2025-04-14:litero-ai:min-e3-b6-m08-v15:CahTVy42:ckpt-step-272","ft:gpt-4.1-2025-04-14:litero-ai:min-e3-b6-m08-v15:CahTVFjJ"
"14","gpt-4.1","none","none","raw-e4-b8-m06-v10","ft:gpt-4.1-2025-04-14:litero-ai:raw-e4-b8-m06-v10:CaRhYycm:ckpt-step-252","ft:gpt-4.1-2025-04-14:litero-ai:raw-e4-b8-m06-v10:CaRhZlkW:ckpt-step-378","ft:gpt-4.1-2025-04-14:litero-ai:raw-e4-b8-m06-v10:CaRhZ8la"
"15","gpt-4.1","compact_prompt","both_binned","cmp-e5-b8-m05-v20","ft:gpt-4.1-2025-04-14:litero-ai:cmp-e5-b8-m05-v20:Cai16isJ:ckpt-step-288","ft:gpt-4.1-2025-04-14:litero-ai:cmp-e5-b8-m05-v20:Cai16kn4:ckpt-step-384","ft:gpt-4.1-2025-04-14:litero-ai:cmp-e5-b8-m05-v20:Cai16L5a"
"16","gpt-4.1","rich_prompt_with_focus_areas","both_raw","rchi-e6-b12-m04-v15","ft:gpt-4.1-2025-04-14:litero-ai:rchi-e6-b12-m04-v15:Cb68OJQz:ckpt-step-272","ft:gpt-4.1-2025-04-14:litero-ai:rchi-e6-b12-m04-v15:Cb68PLxR:ckpt-step-340","ft:gpt-4.1-2025-04-14:litero-ai:rchi-e6-b12-m04-v15:Cb68PEiE"
"17","gpt-4.1","minimal_prompt","both_raw","min-e8-b16-m03-v20","ft:gpt-4.1-2025-04-14:litero-ai:min-e8-b16-m03-v20:Caha6hf8:ckpt-step-288","ft:gpt-4.1-2025-04-14:litero-ai:min-e8-b16-m03-v20:Caha7Y0p:ckpt-step-336","ft:gpt-4.1-2025-04-14:litero-ai:min-e8-b16-m03-v20:Caha7LoY"
"18","gpt-4.1","none","ai_score_raw","raw-e3-b10-m10-v10","","","ft:gpt-4.1-2025-04-14:litero-ai:raw-e3-b10-m10-v10:CaSOMjS9"
"19","gpt-4.1-nano","minimal_prompt","both_binned","min-e3-b32-m10-v10","ft:gpt-4.1-nano-2025-04-14:litero-ai:min-e3-b32-m10-v10:CaicX7xT:ckpt-step-27","ft:gpt-4.1-nano-2025-04-14:litero-ai:min-e3-b32-m10-v10:CaicYHw5:ckpt-step-54","ft:gpt-4.1-nano-2025-04-14:litero-ai:min-e3-b32-m10-v10:CaicZpmo"
"20","gpt-4.1-nano","none","none","raw-e5-b48-m08-v15","ft:gpt-4.1-nano-2025-04-14:litero-ai:raw-e5-b48-m08-v15:CaRKfL72:ckpt-step-90","ft:gpt-4.1-nano-2025-04-14:litero-ai:raw-e5-b48-m08-v15:CaRKg4ph:ckpt-step-120","ft:gpt-4.1-nano-2025-04-14:litero-ai:raw-e5-b48-m08-v15:CaRKgWab"
"22","gpt-4.1-nano","minimal_prompt","ai_score_binned","min-e4-b40-m12-v12","ft:gpt-4.1-nano-2025-04-14:litero-ai:min-e4-b40-m12-v12:CahPt2nD:ckpt-step-54","ft:gpt-4.1-nano-2025-04-14:litero-ai:min-e4-b40-m12-v12:CahPueRR:ckpt-step-81","ft:gpt-4.1-nano-2025-04-14:litero-ai:min-e4-b40-m12-v12:CahPuZKW"
"24","gpt-4.1-nano","none","none","raw-e3-b24-m15-v10","ft:gpt-4.1-nano-2025-04-14:litero-ai:raw-e3-b24-m15-v10:CaRJsenZ:ckpt-step-42","ft:gpt-4.1-nano-2025-04-14:litero-ai:raw-e3-b24-m15-v10:CaRJtQb3:ckpt-step-84","ft:gpt-4.1-nano-2025-04-14:litero-ai:raw-e3-b24-m15-v10:CaRJtSWZ"
"25","gpt-4o","minimal_prompt","both_raw","min-e3-b4-m06-v15","ft:gpt-4o-2024-08-06:litero-ai:min-e3-b4-m06-v15:Cahdrt9p:ckpt-step-203","ft:gpt-4o-2024-08-06:litero-ai:min-e3-b4-m06-v15:Cahds7GM:ckpt-step-406","ft:gpt-4o-2024-08-06:litero-ai:min-e3-b4-m06-v15:Cahds3Pm"
"26","gpt-4o","none","none","raw-e4-b6-m05-v10","ft:gpt-4o-2024-08-06:litero-ai:raw-e4-b6-m05-v10:CaRkYfnt:ckpt-step-336","ft:gpt-4o-2024-08-06:litero-ai:raw-e4-b6-m05-v10:CaRkZrAk:ckpt-step-504","ft:gpt-4o-2024-08-06:litero-ai:raw-e4-b6-m05-v10:CaRkZH9u"
"27","gpt-4o","compact_prompt","both_binned","cmp-e5-b6-m04-v20","ft:gpt-4o-2024-08-06:litero-ai:cmp-e5-b6-m04-v20:CaiClBIF:ckpt-step-384","ft:gpt-4o-2024-08-06:litero-ai:cmp-e5-b6-m04-v20:CaiCm12C:ckpt-step-512","ft:gpt-4o-2024-08-06:litero-ai:cmp-e5-b6-m04-v20:CaiCmOVf"
"28","gpt-4o","rich_prompt_standard","both_raw","rich-e6-b8-m03-v20","ft:gpt-4o-2024-08-06:litero-ai:rich-e6-b8-m03-v20:Cb5VHMR5:ckpt-step-384","ft:gpt-4o-2024-08-06:litero-ai:rich-e6-b8-m03-v20:Cb5VIF54:ckpt-step-480","ft:gpt-4o-2024-08-06:litero-ai:rich-e6-b8-m03-v20:Cb5VI1BO"
"29","gpt-4o","minimal_prompt","ai_score_raw","min-e3-b5-m10-v10","ft:gpt-4o-2024-08-06:litero-ai:min-e3-b5-m10-v10:CahmvOM9:ckpt-step-172","ft:gpt-4o-2024-08-06:litero-ai:min-e3-b5-m10-v10:CahmwSyI:ckpt-step-344","ft:gpt-4o-2024-08-06:litero-ai:min-e3-b5-m10-v10:CahmwAHN"
"30","gpt-4o","none","none","raw-e8-b8-m025-v20","ft:gpt-4o-2024-08-06:litero-ai:raw-e8-b8-m025-v20:CaS2mF6q:ckpt-step-672","ft:gpt-4o-2024-08-06:litero-ai:raw-e8-b8-m025-v20:CaS2nu1l:ckpt-step-784","ft:gpt-4o-2024-08-06:litero-ai:raw-e8-b8-m025-v20:CaS2nSDe"
